device,northing,easting,elevation
Station 1,757343.68675,76458.39724999998,6094.071250000001
Station 2,757306.6325000001,76556.9445,6094.13125
Station 3,757225.796,76551.59625,6094.06675
Station 4,757096.0697499999,76499.30249999999,6094.20125
Station 5,757081.1089999999,76422.58175000001,6094.10975
Station 6,757127.5472500001,76301.21125,6093.9995
Station 7,757218.311,76272.815,6094.05125
Station 8,757348.7315,76321.955,6094.19575
